原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.764046419979124
中药残余废弃物,无,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.377180493503883
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.29432862798522674
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.4592312069558595
豆制品/粮食发酵副产物,无,来源不明,差,,,0,1,中,低,无害化兜底,茶渣,差,5.322466626710349
花生壳/板栗壳,严重,来源不明,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.190932014403179
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.103293353988172
茶渣,严重,明确可追溯,良,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.233764707895128
花生壳/板栗壳,严重,基本可追溯,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.354848739641636
花生壳/板栗壳,无,来源不明,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.097119636181989
花生壳/板栗壳,无,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.441634443027918
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,否,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.912556246352461
茶渣,严重,来源不明,差,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.348185988227343
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.0248438430638895
中药残余废弃物,严重,基本可追溯,良,,,1,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,7.457755008051869
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.779994917328743
茶渣,轻度,基本可追溯,差,否,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.3997997370786749
豆制品/粮食发酵副产物,无,来源不明,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.552520184825004
茶渣,无,明确可追溯,差,是,,1,0,中,高,食品支线,茶渣,优,3.5133945400308777
豆制品/粮食发酵副产物,无,明确可追溯,优,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,10.071017350731498
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,中,高,食品支线,茶渣,优,2.579747110475962
花生壳/板栗壳,严重,基本可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,2.3024006182848673
茶渣,轻度,来源不明,良,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.907367268637612
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.740982260983991
豆制品/粮食发酵副产物,无,来源不明,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.879038909417248
花生壳/板栗壳,严重,明确可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.659400191470066
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.9254420485632013
茶渣,严重,明确可追溯,差,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.278269896360472
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.965406365434815
中药残余废弃物,无,基本可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.070184089959318
豆制品/粮食发酵副产物,无,来源不明,优,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.618247540495618
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.732740684135793
花生壳/板栗壳,轻度,基本可追溯,差,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.63439324866564
花生壳/板栗壳,严重,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.42405629056794514
茶渣,严重,来源不明,良,是,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.182965286544224
花生壳/板栗壳,无,明确可追溯,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.409104766973758
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.584999924481543
茶渣,严重,来源不明,良,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.923557827130695
中药残余废弃物,无,基本可追溯,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,3.3289347615031453
茶渣,严重,来源不明,良,否,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.5794816286573634
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,1.6915129361479813
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,是,0,1,高,低,材料主线,茶渣,优/良/差,7.202549817945374
茶渣,无,明确可追溯,良,否,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.299506229641047
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,是,0,0,高,中,材料主线,茶渣,优/良,2.7553707818988675
茶渣,严重,明确可追溯,优,否,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.077512416717211
花生壳/板栗壳,无,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.440719611704467
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.860051809469184
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.79702732506239
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.43936926362076434
豆制品/粮食发酵副产物,无,来源不明,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.3586625163842646
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.9069409552500238
茶渣,轻度,来源不明,差,是,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.5597915269611222
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.663529484001875
花生壳/板栗壳,严重,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.220079397545954
茶渣,严重,来源不明,差,是,,1,1,中,低,无害化兜底,茶渣,差,8.856538068020745
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.513551221867449
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.604108346461343
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.950697383084552
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.65003679560661
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.433883153743735
花生壳/板栗壳,无,明确可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.753308895645475
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.6082149505995
中药残余废弃物,轻度,来源不明,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.23209976882583
花生壳/板栗壳,无,来源不明,良,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.147886686471592
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,否,0,1,高,中高,食品支线,葡萄籽,优/良,4.619668730042812
花生壳/板栗壳,严重,来源不明,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,是,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.026106228851150548
茶渣,轻度,来源不明,优,否,,1,1,中,高,食品支线,茶渣,优,7.19776726523124
茶渣,严重,明确可追溯,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.6171120312279985
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,是,0,0,中,高,食品支线,茶渣,优,0.3138835630864836
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.66010623696305
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.743758959112311
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
花生壳/板栗壳,无,来源不明,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.652005562659201
花生壳/板栗壳,无,明确可追溯,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,9.85989228908126
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.060077081257476
中药残余废弃物,严重,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
豆制品/粮食发酵副产物,无,来源不明,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.465861171621462
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,是,0,1,高,低,材料主线,茶渣,优/良/差,6.854572718501796
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.755570951609969
花生壳/板栗壳,轻度,基本可追溯,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.045742880833211
中药残余废弃物,无,基本可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,1.9325992239237793
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,0,中,高,食品支线,茶渣,优,0.0
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,否,0,1,高,中高,食品支线,葡萄籽,优/良,4.9457806866176695
茶渣,严重,来源不明,差,否,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.49728669475653453
豆制品/粮食发酵副产物,无,基本可追溯,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.87802399416312
茶渣,无,明确可追溯,良,否,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.780840791957034
中药残余废弃物,无,基本可追溯,优,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,8.701397383815152
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,否,0,1,高,中高,食品支线,葡萄籽,优/良,5.2898648564507615
中药残余废弃物,无,基本可追溯,良,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,8.563451248242007
茶渣,严重,来源不明,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.2556285754477905
茶渣,轻度,明确可追溯,优,否,,1,1,中,高,食品支线,茶渣,优,6.602466793071807
花生壳/板栗壳,轻度,明确可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.0
花生壳/板栗壳,严重,基本可追溯,良,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.165631837937763
中药残余废弃物,严重,基本可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.554491725377057
茶渣,无,来源不明,良,是,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.871841801244973
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,是,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.2802971388511795
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,是,0,0,中,高,食品支线,茶渣,优,0.0
花生壳/板栗壳,无,来源不明,优,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.559977036203458
中药残余废弃物,轻度,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.378000904298273
中药残余废弃物,无,明确可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.352601554909153
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.173013546083962
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.810063418402434
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.020418698157421
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.507918562641475
中药残余废弃物,无,明确可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.834994332596258
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
中药残余废弃物,无,明确可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.807836466418893
花生壳/板栗壳,轻度,基本可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.0324522798367672
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.3078668689163555
茶渣,轻度,基本可追溯,差,是,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.943513137483981
茶渣,无,明确可追溯,差,否,,0,0,高,中高,食品支线,葡萄籽,优/良,2.2137065927908117
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.324215541162022
中药残余废弃物,无,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.545393806286039
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
花生壳/板栗壳,无,来源不明,差,,,0,0,中,高,食品支线,茶渣,优,0.0
茶渣,无,来源不明,良,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.886026554810131
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.4827576353025345
中药残余废弃物,严重,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.378792513362596
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.644075650153864
中药残余废弃物,轻度,明确可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.2378361289395725
中药残余废弃物,轻度,明确可追溯,优,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,9.04838325944043
中药残余废弃物,无,基本可追溯,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.4850493871212407
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.958231105877839
花生壳/板栗壳,无,明确可追溯,差,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.124470921961535
茶渣,严重,明确可追溯,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
茶渣,轻度,明确可追溯,优,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.560376843489845
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.4124145752117805
茶渣,轻度,明确可追溯,差,是,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.81076071181438
花生壳/板栗壳,严重,基本可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,2.6049493783045388
中药残余废弃物,无,明确可追溯,良,,,0,0,中,高,食品支线,茶渣,优,0.0
中药残余废弃物,严重,基本可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.580051325993435
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.430962290900149
花生壳/板栗壳,轻度,明确可追溯,优,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,9.507475828521393
茶渣,轻度,基本可追溯,差,否,,1,0,高,中,材料主线,茶渣,优/良,6.8287343681893535
花生壳/板栗壳,无,来源不明,良,,,0,0,中,低,无害化兜底,茶渣,差,1.886473929228059
茶渣,严重,明确可追溯,优,否,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.21966136022965277
茶渣,轻度,来源不明,差,是,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.7084948978649743
中药残余废弃物,无,明确可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.0
花生壳/板栗壳,无,来源不明,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.8475386334748795
花生壳/板栗壳,轻度,基本可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,4.536874801830363
茶渣,轻度,基本可追溯,优,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.268945804266411
花生壳/板栗壳,严重,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.630065277418272
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.442057020935348
豆制品/粮食发酵副产物,无,来源不明,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.086814947409395
中药残余废弃物,严重,来源不明,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.592793970207204
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,否,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.557712093013049
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.146226308720048
花生壳/板栗壳,轻度,来源不明,差,,,0,1,中,低,无害化兜底,茶渣,差,5.240117582284136
茶渣,无,基本可追溯,良,是,,1,0,中,低,无害化兜底,茶渣,差,6.435843208577919
中药残余废弃物,严重,来源不明,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.332417044104674
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.388961800875302
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,1,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,6.092248259012128
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,是,1,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.517788603989574
花生壳/板栗壳,轻度,基本可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.373068733475168
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.453765587572208
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.8942864257489225
茶渣,严重,基本可追溯,良,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.512869327580843
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,是,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.730213061802675
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,10.46729070151165
中药残余废弃物,轻度,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.365176562261545
茶渣,无,来源不明,优,否,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.391945730455154
花生壳/板栗壳,轻度,明确可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.563223705511614
中药残余废弃物,严重,明确可追溯,优,,,0,1,中,高,食品支线,茶渣,优,0.2167554774109166
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.369993326832736
茶渣,无,基本可追溯,优,是,,1,1,中,高,食品支线,茶渣,优,7.4939275313821465
中药残余废弃物,严重,来源不明,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.009204166040031
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,否,0,0,中,低,无害化兜底,茶渣,差,2.0325426316665305
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.138022383906753
茶渣,严重,基本可追溯,良,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.580455506193571
中药残余废弃物,严重,明确可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.750896543706304
中药残余废弃物,轻度,明确可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.778393985348247
豆制品/粮食发酵副产物,无,来源不明,良,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.138819490824828
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,否,0,1,高,低,材料主线,茶渣,优/良/差,6.812077352224122
中药残余废弃物,轻度,基本可追溯,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.948589198649264
花生壳/板栗壳,轻度,来源不明,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.423880729259928
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.940366567107548
中药残余废弃物,严重,来源不明,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
茶渣,严重,来源不明,差,否,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.031732330832484
中药残余废弃物,严重,来源不明,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.38487858237968586
茶渣,无,来源不明,差,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.0824813584311155
花生壳/板栗壳,严重,基本可追溯,良,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,10.450716512137383
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,否,0,0,中,低,无害化兜底,茶渣,差,1.6796883418377822
中药残余废弃物,轻度,来源不明,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.357501296858307
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.41417413211755
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,否,1,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.4918493177018436
茶渣,严重,明确可追溯,良,是,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.534002335177098
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,否,0,1,高,中高,食品支线,葡萄籽,优/良,0.19487093513243348
